------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:08 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 797
capture.afpacket.polls                        | Total                     | 1120
capture.afpacket.poll_timeout                 | Total                     | 656
capture.afpacket.poll_data                    | Total                     | 464
decoder.pkts                                  | Total                     | 1241
decoder.bytes                                 | Total                     | 1303797
decoder.ipv4                                  | Total                     | 14
decoder.ipv6                                  | Total                     | 1219
decoder.ethernet                              | Total                     | 1241
decoder.arp                                   | Total                     | 8
decoder.tcp                                   | Total                     | 19
tcp.syn                                       | Total                     | 2
tcp.synack                                    | Total                     | 2
decoder.udp                                   | Total                     | 1199
decoder.icmpv6                                | Total                     | 15
decoder.avg_pkt_size                          | Total                     | 1050
decoder.max_pkt_size                          | Total                     | 1387
tcp.active_sessions                           | Total                     | 1
flow.total                                    | Total                     | 8
flow.active                                   | Total                     | 8
flow.tcp                                      | Total                     | 2
flow.udp                                      | Total                     | 2
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 6
tcp.sessions                                  | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1
tcp.segment_from_pool                         | Total                     | 2
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 1
app_layer.tx.dns_udp                          | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 9400
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 4
flow.mgr.flows_notimeout                      | Total                     | 4
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1380352
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:16 (uptime: 0d, 00h 00m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3431
capture.afpacket.polls                        | Total                     | 3023
capture.afpacket.poll_timeout                 | Total                     | 1688
capture.afpacket.poll_data                    | Total                     | 1335
decoder.pkts                                  | Total                     | 3431
decoder.bytes                                 | Total                     | 3572372
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 3392
decoder.ethernet                              | Total                     | 3431
decoder.arp                                   | Total                     | 13
decoder.unknown_ethertype                     | Total                     | 3
decoder.tcp                                   | Total                     | 44
